id,target,time_of_event,time_of_alert
8dI7OolIEXY_002915,1,5.200,
8dI7OolIEXY_002915__pre,0,,
J-j5eIHg8I0_002187,1,5.300,
J-j5eIHg8I0_002187__pre,0,,
Q7VBPeGwJWw_000357,1,3.700,
Q7VBPeGwJWw_000357__pre,0,,
O9uvBFovKj8_000075,1,4.500,
O9uvBFovKj8_000075__pre,0,,
Vtpe3HAIEm4_004689,1,2.100,
Vtpe3HAIEm4_004689__pre,0,,
bFGmOp9H3MA_005500,1,1.700,
qYonJ4w6SZs_001169,1,4.200,
qYonJ4w6SZs_001169__pre,0,,
Sihe6aeyLHg_004230,1,3.800,
Sihe6aeyLHg_004230__pre,0,,
3tEZvtQZ18Q_000791,1,5.400,
3tEZvtQZ18Q_000791__pre,0,,
4wKjxDXnmYs_000908,1,2.700,
4wKjxDXnmYs_000908__pre,0,,
mrIFkGZbNjc_000195,1,7.300,
mrIFkGZbNjc_000195__pre,0,,
pQdl0apLT70_001374,1,2.400,
pQdl0apLT70_001374__pre,0,,
JkYzYrJpSoQ_001646,1,4.500,
JkYzYrJpSoQ_001646__pre,0,,
UjkeNSr2dXQ_004540,1,3.600,
UjkeNSr2dXQ_004540__pre,0,,
3tEZvtQZ18Q_005766,1,3.100,
3tEZvtQZ18Q_005766__pre,0,,
QERvirE3S5s_000840,1,4.100,
QERvirE3S5s_000840__pre,0,,
eWWgJznGg6U_000894,1,4.200,
eWWgJznGg6U_000894__pre,0,,
Hd2IzHAfkCI_004151,1,3.100,
Hd2IzHAfkCI_004151__pre,0,,
Rrcjy5t8b20_001828,1,2.600,
Rrcjy5t8b20_001828__pre,0,,
RPNiqsdt6-w_000191,1,4.900,
RPNiqsdt6-w_000191__pre,0,,
uFwnmh0GpBo_004369,1,6.400,
uFwnmh0GpBo_004369__pre,0,,
OPj7lUQOre8_001801,1,3.300,
OPj7lUQOre8_001801__pre,0,,
4OGV0AbV91U_002914,1,5.000,
4OGV0AbV91U_002914__pre,0,,
4OGV0AbV91U_000777,1,4.500,
4OGV0AbV91U_000777__pre,0,,
p8q77QzOdUs_004191,1,3.400,
p8q77QzOdUs_004191__pre,0,,
Hd2IzHAfkCI_004321,1,3.900,
Hd2IzHAfkCI_004321__pre,0,,
EY8x-fyQkbk_006474,1,3.000,
EY8x-fyQkbk_006474__pre,0,,
PEwiwzyTjX0_002082,1,2.400,
PEwiwzyTjX0_002082__pre,0,,
PfJ2CudpCgE_001352,1,2.000,
PfJ2CudpCgE_001352__pre,0,,
Hx8FMhmdOQU_000074,1,3.500,
Hx8FMhmdOQU_000074__pre,0,,
DSBGS6aRzgc_000371,1,4.800,
DSBGS6aRzgc_000371__pre,0,,
kld-iYpdjyo_001739,1,2.500,
kld-iYpdjyo_001739__pre,0,,
kjVywUi1WK4_003175,1,2.600,
kjVywUi1WK4_003175__pre,0,,
kVhgFPPG-wo_001320,1,2.500,
kVhgFPPG-wo_001320__pre,0,,
ujVRDgGVzlQ_005196,1,3.200,
ujVRDgGVzlQ_005196__pre,0,,
xVfPBzDnI2Q_000911,1,2.600,
xVfPBzDnI2Q_000911__pre,0,,
yhtzAKqRyXw_000972,1,2.600,
yhtzAKqRyXw_000972__pre,0,,
3Sqeb-l1RPA_003874,1,3.900,
3Sqeb-l1RPA_003874__pre,0,,
DSBGS6aRzgc_005753,1,2.500,
DSBGS6aRzgc_005753__pre,0,,
xpOyD-qrQUw_001076,1,2.600,
xpOyD-qrQUw_001076__pre,0,,
WWyeuvpHmfc_003415,1,3.000,
WWyeuvpHmfc_003415__pre,0,,
qzMjfBx1KI0_000882,1,8.600,
qzMjfBx1KI0_000882__pre,0,,
lmykriTbncM_003407,1,6.600,
lmykriTbncM_003407__pre,0,,
TlBhM9Xbr2o_004445,1,7.400,
TlBhM9Xbr2o_004445__pre,0,,
3Sqeb-l1RPA_003561,1,1.500,
LbKd5Ho0wDM_000742,1,1.900,
J-j5eIHg8I0_004908,1,2.900,
J-j5eIHg8I0_004908__pre,0,,
K1r3m5OrmB4_006234,1,2.400,
K1r3m5OrmB4_006234__pre,0,,
90gyBengKDs_000840,1,5.900,
90gyBengKDs_000840__pre,0,,
HeK6zbf8I9Y_001702,1,2.400,
HeK6zbf8I9Y_001702__pre,0,,
lmykriTbncM_003894,1,2.900,
lmykriTbncM_003894__pre,0,,
3tEZvtQZ18Q_004970,1,3.100,
3tEZvtQZ18Q_004970__pre,0,,
Y4rb2_HaBdQ_000416,1,4.700,
Y4rb2_HaBdQ_000416__pre,0,,
Eq7_uD2yN5Y_003719,1,2.800,
Eq7_uD2yN5Y_003719__pre,0,,
krPRThe7R4g_003203,1,2.000,
krPRThe7R4g_003203__pre,0,,
Z9K13eBUwJM_004933,1,3.300,
Z9K13eBUwJM_004933__pre,0,,
HzVbo46kkBA_003834,1,4.200,
HzVbo46kkBA_003834__pre,0,,
1u69z-wsDIc_000394,1,3.800,
1u69z-wsDIc_000394__pre,0,,
T89zSiaMNgM_000075,1,3.700,
T89zSiaMNgM_000075__pre,0,,
kN-2mc561GY_003742,1,1.100,
ujVRDgGVzlQ_003142,1,2.900,
ujVRDgGVzlQ_003142__pre,0,,
uO2zGO5ydBc_000850,1,3.500,
uO2zGO5ydBc_000850__pre,0,,
TNZv-NBcV5U_004778,1,2.900,
TNZv-NBcV5U_004778__pre,0,,
PfJ2CudpCgE_003707,1,3.000,
PfJ2CudpCgE_003707__pre,0,,
OWtbKblBOKI_004918,1,2.500,
OWtbKblBOKI_004918__pre,0,,
2TmFM9p1KF8_000052,1,5.500,
2TmFM9p1KF8_000052__pre,0,,
sUbP4j8rAic_004629,1,5.200,
sUbP4j8rAic_004629__pre,0,,
TNZv-NBcV5U_004527,1,3.300,
TNZv-NBcV5U_004527__pre,0,,
EY8x-fyQkbk_005584,1,4.400,
EY8x-fyQkbk_005584__pre,0,,
fsqORUrKLYg_005200,1,15.200,
fsqORUrKLYg_005200__pre,0,,
JV0D-YkWHD8_002599,1,2.200,
JV0D-YkWHD8_002599__pre,0,,
fb5i7JlmJdg_004449,1,4.500,
fb5i7JlmJdg_004449__pre,0,,
nHvTqyRntbY_002946,1,2.600,
nHvTqyRntbY_002946__pre,0,,
7uTMZ5-aWKA_003263,1,4.300,
7uTMZ5-aWKA_003263__pre,0,,
RASKiMoxhOE_003995,1,2.200,
RASKiMoxhOE_003995__pre,0,,
ujVRDgGVzlQ_000335,1,2.700,
ujVRDgGVzlQ_000335__pre,0,,
r6_ZhT7rmhM_004615,1,4.000,
r6_ZhT7rmhM_004615__pre,0,,
QeuzUfHIWYU_003673,1,1.100,
PEwiwzyTjX0_003560,1,2.900,
PEwiwzyTjX0_003560__pre,0,,
5vKPYV5w6pw_004414,1,5.200,
5vKPYV5w6pw_004414__pre,0,,
ZIts2XH28SA_000441,1,5.500,
ZIts2XH28SA_000441__pre,0,,
PfJ2CudpCgE_000827,1,1.900,
W6YrlYyWguc_000075,1,6.400,
W6YrlYyWguc_000075__pre,0,,
LfKfK4I5RPE_000421,1,4.000,
LfKfK4I5RPE_000421__pre,0,,
yhtzAKqRyXw_001757,1,2.800,
yhtzAKqRyXw_001757__pre,0,,
kld-iYpdjyo_005427,1,2.400,
kld-iYpdjyo_005427__pre,0,,
CyeT8rEQOpQ_001606,1,2.500,
CyeT8rEQOpQ_001606__pre,0,,
vZSr9dhRxlE_004142,1,2.700,
vZSr9dhRxlE_004142__pre,0,,
IQwS7BEjUxM_001201,1,2.600,
IQwS7BEjUxM_001201__pre,0,,
pWZSG2cUdEo_001679,1,3.200,
pWZSG2cUdEo_001679__pre,0,,
yhtzAKqRyXw_002419,1,3.600,
yhtzAKqRyXw_002419__pre,0,,
gXezhrOijmQ_000073,1,5.500,
gXezhrOijmQ_000073__pre,0,,
Sihe6aeyLHg_005676,1,3.000,
Sihe6aeyLHg_005676__pre,0,,
PfJ2CudpCgE_001429,1,3.800,
PfJ2CudpCgE_001429__pre,0,,
OWtbKblBOKI_003159,1,2.100,
OWtbKblBOKI_003159__pre,0,,
Y4rb2_HaBdQ_000998,1,3.200,
Y4rb2_HaBdQ_000998__pre,0,,
ieP36TLihGM_000401,1,5.600,
ieP36TLihGM_000401__pre,0,,
GDejMONyY4U_004751,1,3.200,
GDejMONyY4U_004751__pre,0,,
Izf9l3VWQuo_000073,1,4.000,
Izf9l3VWQuo_000073__pre,0,,
Sihe6aeyLHg_005096,1,3.700,
Sihe6aeyLHg_005096__pre,0,,
Rrcjy5t8b20_003166,1,3.200,
Rrcjy5t8b20_003166__pre,0,,
O9uvBFovKj8_000672,1,2.800,
O9uvBFovKj8_000672__pre,0,,
l1XbmdmGr0Q_004796,1,4.100,
l1XbmdmGr0Q_004796__pre,0,,
nvVk7L3GrJQ_002297,1,1.600,
OWtbKblBOKI_000176,1,3.500,
OWtbKblBOKI_000176__pre,0,,
Vtpe3HAIEm4_000729,1,4.300,
Vtpe3HAIEm4_000729__pre,0,,
GDejMONyY4U_002293,1,2.600,
GDejMONyY4U_002293__pre,0,,
IOoVklIZLMw_000290,1,4.400,
IOoVklIZLMw_000290__pre,0,,
YBEYOS3A3Ic_001972,1,3.000,
YBEYOS3A3Ic_001972__pre,0,,
jKwCC2RhxJE_001746,1,0.100,
kld-iYpdjyo_005915,1,3.200,
kld-iYpdjyo_005915__pre,0,,
Sihe6aeyLHg_005509,1,4.600,
Sihe6aeyLHg_005509__pre,0,,
P5MjgFmqouA_001506,1,2.900,
P5MjgFmqouA_001506__pre,0,,
4OGV0AbV91U_003954,1,2.500,
4OGV0AbV91U_003954__pre,0,,
Hkui6PJboFg_004555,1,1.300,
oZaUkhs_H-s_000295,1,4.800,
oZaUkhs_H-s_000295__pre,0,,
TNZv-NBcV5U_001639,1,3.500,
TNZv-NBcV5U_001639__pre,0,,
3sGShQb_HwU_001276,1,6.000,
3sGShQb_HwU_001276__pre,0,,
JV0D-YkWHD8_003893,1,1.100,
xToi8YVZM8o_000231,1,4.800,
xToi8YVZM8o_000231__pre,0,,
xjbbH74SwTg_000722,1,3.600,
xjbbH74SwTg_000722__pre,0,,
pOJpwWmEcFg_000281,1,5.600,
pOJpwWmEcFg_000281__pre,0,,
kld-iYpdjyo_000332,1,5.200,
kld-iYpdjyo_000332__pre,0,,
lmykriTbncM_000951,1,4.600,
lmykriTbncM_000951__pre,0,,
TNZv-NBcV5U_003333,1,3.200,
TNZv-NBcV5U_003333__pre,0,,
6E2N9ld0eHg_002827,1,3.100,
6E2N9ld0eHg_002827__pre,0,,
pQdl0apLT70_004682,1,3.700,
pQdl0apLT70_004682__pre,0,,
bFGmOp9H3MA_002262,1,4.400,
bFGmOp9H3MA_002262__pre,0,,
Izf9l3VWQuo_001035,1,4.400,
Izf9l3VWQuo_001035__pre,0,,
QeuzUfHIWYU_000349,1,5.800,
QeuzUfHIWYU_000349__pre,0,,
p-fBcE77G4c_002549,1,4.600,
p-fBcE77G4c_002549__pre,0,,
ahKX0rtdMJc_002328,1,4.300,
ahKX0rtdMJc_002328__pre,0,,
vdLn-qswnRo_002152,1,1.700,
sUbP4j8rAic_002607,1,3.600,
sUbP4j8rAic_002607__pre,0,,
bI9JzQSrEGo_001598,1,3.000,
bI9JzQSrEGo_001598__pre,0,,
JHfjuFrnpjA_000962,1,4.400,
JHfjuFrnpjA_000962__pre,0,,
y4Evv5By6sg_001655,1,3.900,
y4Evv5By6sg_001655__pre,0,,
lmykriTbncM_001067,1,3.500,
lmykriTbncM_001067__pre,0,,
gDjeTHGWX9c_003026,1,2.300,
gDjeTHGWX9c_003026__pre,0,,
Nc9SDBksPPA_001230,1,4.600,
Nc9SDBksPPA_001230__pre,0,,
Z9K13eBUwJM_001713,1,3.000,
Z9K13eBUwJM_001713__pre,0,,
UbDCiQVuzPY_001866,1,6.600,
UbDCiQVuzPY_001866__pre,0,,
y1vGuUK0db4_000652,1,3.500,
y1vGuUK0db4_000652__pre,0,,
Z9K13eBUwJM_003725,1,3.500,
Z9K13eBUwJM_003725__pre,0,,
h55PiQMnlJY_001132,1,6.400,
h55PiQMnlJY_001132__pre,0,,
Z9K13eBUwJM_003518,1,2.800,
Z9K13eBUwJM_003518__pre,0,,
4OGV0AbV91U_003445,1,3.200,
4OGV0AbV91U_003445__pre,0,,
GDejMONyY4U_003330,1,2.500,
GDejMONyY4U_003330__pre,0,,
pWZSG2cUdEo_001139,1,2.800,
pWZSG2cUdEo_001139__pre,0,,
kVhgFPPG-wo_004360,1,2.700,
kVhgFPPG-wo_004360__pre,0,,
1u69z-wsDIc_000294,1,3.700,
1u69z-wsDIc_000294__pre,0,,
u33fdjUY_Iw_003121,1,7.000,
u33fdjUY_Iw_003121__pre,0,,
kjVywUi1WK4_001927,1,5.100,
kjVywUi1WK4_001927__pre,0,,
OWtbKblBOKI_001141,1,1.300,
cfrLchAShxQ_000752,1,5.600,
cfrLchAShxQ_000752__pre,0,,
pQdl0apLT70_003935,1,4.400,
pQdl0apLT70_003935__pre,0,,
kEcbnTbgi4A_000576,1,3.700,
kEcbnTbgi4A_000576__pre,0,,
PqbpIHZvjMA_003848,1,3.600,
PqbpIHZvjMA_003848__pre,0,,
qzMjfBx1KI0_005123,1,3.300,
qzMjfBx1KI0_005123__pre,0,,
p-fBcE77G4c_003598,1,3.600,
p-fBcE77G4c_003598__pre,0,,
kVhgFPPG-wo_003917,1,2.000,
kVhgFPPG-wo_003917__pre,0,,
zRZ9PJguIfE_003564,1,5.300,
zRZ9PJguIfE_003564__pre,0,,
HaC3LrJiTmQ_003884,1,4.700,
HaC3LrJiTmQ_003884__pre,0,,
u33fdjUY_Iw_001682,1,4.300,
u33fdjUY_Iw_001682__pre,0,,
HaC3LrJiTmQ_000400,1,3.800,
HaC3LrJiTmQ_000400__pre,0,,
uFwnmh0GpBo_005490,1,4.900,
uFwnmh0GpBo_005490__pre,0,,
X8VgGb1fJDU_001780,1,0.600,
90gyBengKDs_000676,1,3.100,
90gyBengKDs_000676__pre,0,,
UbDCiQVuzPY_002517,1,4.000,
UbDCiQVuzPY_002517__pre,0,,
90gyBengKDs_001407,1,3.500,
90gyBengKDs_001407__pre,0,,
OWtbKblBOKI_004700,1,2.800,
OWtbKblBOKI_004700__pre,0,,
QeuzUfHIWYU_004918,1,4.700,
QeuzUfHIWYU_004918__pre,0,,
JkYzYrJpSoQ_000464,1,4.800,
JkYzYrJpSoQ_000464__pre,0,,
2TmFM9p1KF8_004755,1,3.200,
2TmFM9p1KF8_004755__pre,0,,
JmwUVoOrgk8_002081,1,5.200,
JmwUVoOrgk8_002081__pre,0,,
kjVywUi1WK4_003761,1,5.200,
kjVywUi1WK4_003761__pre,0,,
JkYzYrJpSoQ_002420,1,3.900,
JkYzYrJpSoQ_002420__pre,0,,
8dI7OolIEXY_004645,1,3.000,
8dI7OolIEXY_004645__pre,0,,
pQdl0apLT70_005211,1,3.600,
pQdl0apLT70_005211__pre,0,,
4K_6s1n6BpU_006074,1,2.400,
4K_6s1n6BpU_006074__pre,0,,
cfrLchAShxQ_001402,1,4.500,
cfrLchAShxQ_001402__pre,0,,
QERvirE3S5s_003199,1,3.500,
QERvirE3S5s_003199__pre,0,,
V3--0ubJkNE_004893,1,1.900,
K1r3m5OrmB4_003089,1,6.100,
K1r3m5OrmB4_003089__pre,0,,
PYL3JcSsS6o_004236,1,5.400,
PYL3JcSsS6o_004236__pre,0,,
kjVywUi1WK4_004432,1,6.000,
kjVywUi1WK4_004432__pre,0,,
y1vGuUK0db4_005626,1,4.800,
y1vGuUK0db4_005626__pre,0,,
CyeT8rEQOpQ_004725,1,1.600,
X8VgGb1fJDU_001455,1,4.600,
X8VgGb1fJDU_001455__pre,0,,
OWtbKblBOKI_001508,1,3.400,
OWtbKblBOKI_001508__pre,0,,
uFwnmh0GpBo_000181,1,2.800,
uFwnmh0GpBo_000181__pre,0,,
nvVk7L3GrJQ_004113,1,3.900,
nvVk7L3GrJQ_004113__pre,0,,
DyzL2sahobA_000541,1,2.800,
DyzL2sahobA_000541__pre,0,,
kjVywUi1WK4_001359,1,4.800,
kjVywUi1WK4_001359__pre,0,,
Y4rb2_HaBdQ_000240,1,3.200,
Y4rb2_HaBdQ_000240__pre,0,,
Hd2IzHAfkCI_000629,1,5.100,
Hd2IzHAfkCI_000629__pre,0,,
p-fBcE77G4c_002720,1,4.000,
p-fBcE77G4c_002720__pre,0,,
krPRThe7R4g_003363,1,2.700,
krPRThe7R4g_003363__pre,0,,
t4Cvbdtebk0_000996,1,5.700,
t4Cvbdtebk0_000996__pre,0,,
Vtpe3HAIEm4_002007,1,3.200,
Vtpe3HAIEm4_002007__pre,0,,
lKMwX4nA64k_002052,1,2.000,
lKMwX4nA64k_002052__pre,0,,
HzVbo46kkBA_001861,1,6.600,
HzVbo46kkBA_001861__pre,0,,
3tEZvtQZ18Q_000441,1,2.100,
3tEZvtQZ18Q_000441__pre,0,,
fb5i7JlmJdg_000181,1,6.100,
fb5i7JlmJdg_000181__pre,0,,
TlBhM9Xbr2o_004816,1,4.100,
TlBhM9Xbr2o_004816__pre,0,,
gDjeTHGWX9c_003331,1,2.000,
gDjeTHGWX9c_003331__pre,0,,
gDjeTHGWX9c_003246,1,5.000,
gDjeTHGWX9c_003246__pre,0,,
Y4rb2_HaBdQ_004022,1,3.700,
Y4rb2_HaBdQ_004022__pre,0,,
y4Evv5By6sg_001148,1,5.000,
y4Evv5By6sg_001148__pre,0,,
gXezhrOijmQ_000401,1,5.500,
gXezhrOijmQ_000401__pre,0,,
Hd2IzHAfkCI_000529,1,3.600,
Hd2IzHAfkCI_000529__pre,0,,
5vKPYV5w6pw_001345,1,2.700,
5vKPYV5w6pw_001345__pre,0,,
fb5i7JlmJdg_001073,1,8.500,
fb5i7JlmJdg_001073__pre,0,,
bcpfYpmDcp0_000052,1,3.400,
bcpfYpmDcp0_000052__pre,0,,
sUbP4j8rAic_005558,1,9.300,
sUbP4j8rAic_005558__pre,0,,
IOvkPjLsybM_000609,1,1.700,
FqJ4IfRLKmA_001771,1,6.200,
FqJ4IfRLKmA_001771__pre,0,,
l1XbmdmGr0Q_003473,1,2.900,
l1XbmdmGr0Q_003473__pre,0,,
WWyeuvpHmfc_003497,1,3.100,
WWyeuvpHmfc_003497__pre,0,,
nHvTqyRntbY_003413,1,0.500,
GJr8wKk8-YA_001654,1,2.000,
GJr8wKk8-YA_001654__pre,0,,
ZIts2XH28SA_003025,1,2.700,
ZIts2XH28SA_003025__pre,0,,
bcpfYpmDcp0_001305,1,2.800,
bcpfYpmDcp0_001305__pre,0,,
T89zSiaMNgM_003762,1,3.100,
T89zSiaMNgM_003762__pre,0,,
Hkui6PJboFg_000164,1,3.600,
Hkui6PJboFg_000164__pre,0,,
Tsl84N96WM8_001676,1,5.800,
Tsl84N96WM8_001676__pre,0,,
nHvTqyRntbY_005048,1,3.600,
nHvTqyRntbY_005048__pre,0,,
bcpfYpmDcp0_000243,1,2.500,
bcpfYpmDcp0_000243__pre,0,,
l1XbmdmGr0Q_004344,1,2.900,
l1XbmdmGr0Q_004344__pre,0,,
4wKjxDXnmYs_001351,1,2.500,
4wKjxDXnmYs_001351__pre,0,,
8dI7OolIEXY_003985,1,3.200,
8dI7OolIEXY_003985__pre,0,,
PEwiwzyTjX0_002380,1,2.300,
PEwiwzyTjX0_002380__pre,0,,
ahKX0rtdMJc_000752,1,4.200,
ahKX0rtdMJc_000752__pre,0,,
Hfs4AlBmg70_004290,1,2.800,
Hfs4AlBmg70_004290__pre,0,,
5vKPYV5w6pw_003173,1,3.900,
5vKPYV5w6pw_003173__pre,0,,
fHUJcUaW2mE_003544,1,2.200,
fHUJcUaW2mE_003544__pre,0,,
IOoVklIZLMw_001063,1,4.200,
IOoVklIZLMw_001063__pre,0,,
3Sqeb-l1RPA_004505,1,2.900,
3Sqeb-l1RPA_004505__pre,0,,
Y4rb2_HaBdQ_002198,1,4.000,
Y4rb2_HaBdQ_002198__pre,0,,
f482qwPz7ns_000073,1,6.200,
f482qwPz7ns_000073__pre,0,,
WWyeuvpHmfc_000597,1,3.600,
WWyeuvpHmfc_000597__pre,0,,
pQdl0apLT70_001745,1,4.400,
pQdl0apLT70_001745__pre,0,,
3tEZvtQZ18Q_005080,1,3.600,
3tEZvtQZ18Q_005080__pre,0,,
iZ8OKEd-2bs_002534,1,2.600,
iZ8OKEd-2bs_002534__pre,0,,
QERvirE3S5s_002572,1,2.900,
QERvirE3S5s_002572__pre,0,,
V3--0ubJkNE_005741,1,3.000,
V3--0ubJkNE_005741__pre,0,,
3tEZvtQZ18Q_000531,1,4.700,
3tEZvtQZ18Q_000531__pre,0,,
dZG1VKsgs60_004872,1,5.600,
dZG1VKsgs60_004872__pre,0,,
nvVk7L3GrJQ_005069,1,2.900,
nvVk7L3GrJQ_005069__pre,0,,
88LcRU7uEFE_003434,1,5.000,
88LcRU7uEFE_003434__pre,0,,
bFGmOp9H3MA_002756,1,3.300,
bFGmOp9H3MA_002756__pre,0,,
nHvTqyRntbY_003858,1,4.000,
nHvTqyRntbY_003858__pre,0,,
1u69z-wsDIc_002769,1,4.700,
1u69z-wsDIc_002769__pre,0,,
fb5i7JlmJdg_001324,1,5.700,
fb5i7JlmJdg_001324__pre,0,,
8dI7OolIEXY_005933,1,0.700,
CyeT8rEQOpQ_001230,1,3.200,
CyeT8rEQOpQ_001230__pre,0,,
YBEYOS3A3Ic_002950,1,0.300,
kld-iYpdjyo_003085,1,4.000,
kld-iYpdjyo_003085__pre,0,,
5vKPYV5w6pw_003098,1,3.000,
5vKPYV5w6pw_003098__pre,0,,
vdLn-qswnRo_004096,1,3.100,
vdLn-qswnRo_004096__pre,0,,
EY8x-fyQkbk_002450,1,1.800,
0RJPQ_97dcs_000307,1,2.300,
0RJPQ_97dcs_000307__pre,0,,
fHUJcUaW2mE_003604,1,1.600,
xpOyD-qrQUw_004076,1,2.900,
xpOyD-qrQUw_004076__pre,0,,
fb5i7JlmJdg_003878,1,5.700,
fb5i7JlmJdg_003878__pre,0,,
RPNiqsdt6-w_000075,1,5.000,
RPNiqsdt6-w_000075__pre,0,,
YBEYOS3A3Ic_001824,1,2.400,
YBEYOS3A3Ic_001824__pre,0,,
PfJ2CudpCgE_005782,1,2.200,
PfJ2CudpCgE_005782__pre,0,,
3Sqeb-l1RPA_002730,1,2.100,
3Sqeb-l1RPA_002730__pre,0,,
J_ggxJD3Uy8_002884,1,2.100,
J_ggxJD3Uy8_002884__pre,0,,
gXezhrOijmQ_004307,1,4.500,
gXezhrOijmQ_004307__pre,0,,
HaC3LrJiTmQ_000498,1,4.900,
HaC3LrJiTmQ_000498__pre,0,,
1u69z-wsDIc_004195,1,3.200,
1u69z-wsDIc_004195__pre,0,,
4K_6s1n6BpU_006586,1,2.600,
4K_6s1n6BpU_006586__pre,0,,
h55PiQMnlJY_003175,1,4.500,
h55PiQMnlJY_003175__pre,0,,
bFGmOp9H3MA_004180,1,3.400,
bFGmOp9H3MA_004180__pre,0,,
fsqORUrKLYg_003630,1,5.100,
fsqORUrKLYg_003630__pre,0,,
nHvTqyRntbY_004787,1,3.600,
nHvTqyRntbY_004787__pre,0,,
Hx8FMhmdOQU_001789,1,6.400,
Hx8FMhmdOQU_001789__pre,0,,
Izf9l3VWQuo_003543,1,5.100,
Izf9l3VWQuo_003543__pre,0,,
jv7vz_55H8M_004354,1,2.400,
jv7vz_55H8M_004354__pre,0,,
nvVk7L3GrJQ_003780,1,2.600,
nvVk7L3GrJQ_003780__pre,0,,
T89zSiaMNgM_001691,1,5.200,
T89zSiaMNgM_001691__pre,0,,
UbDCiQVuzPY_003061,1,2.700,
UbDCiQVuzPY_003061__pre,0,,
PEwiwzyTjX0_000881,1,3.500,
PEwiwzyTjX0_000881__pre,0,,
bcpfYpmDcp0_000324,1,3.900,
bcpfYpmDcp0_000324__pre,0,,
Zpo0kwg1XEQ_003491,1,6.400,
Zpo0kwg1XEQ_003491__pre,0,,
bI9JzQSrEGo_001814,1,1.600,
Hd2IzHAfkCI_002351,1,1.700,
y1vGuUK0db4_000564,1,3.100,
y1vGuUK0db4_000564__pre,0,,
IOoVklIZLMw_004034,1,5.800,
IOoVklIZLMw_004034__pre,0,,
Hkui6PJboFg_003515,1,2.200,
Hkui6PJboFg_003515__pre,0,,
Eq7_uD2yN5Y_002226,1,4.200,
Eq7_uD2yN5Y_002226__pre,0,,
h4OXsRSWLLc_000867,1,0.600,
vZSr9dhRxlE_002047,1,3.700,
vZSr9dhRxlE_002047__pre,0,,
bcpfYpmDcp0_003258,1,4.800,
bcpfYpmDcp0_003258__pre,0,,
y1vGuUK0db4_004053,1,4.100,
y1vGuUK0db4_004053__pre,0,,
pWZSG2cUdEo_001221,1,1.300,
WWyeuvpHmfc_003648,1,3.700,
WWyeuvpHmfc_003648__pre,0,,
4OGV0AbV91U_003612,1,2.300,
4OGV0AbV91U_003612__pre,0,,
3Sqeb-l1RPA_003979,1,5.400,
3Sqeb-l1RPA_003979__pre,0,,
0qfbmt4G8Rw_001843,1,4.400,
0qfbmt4G8Rw_001843__pre,0,,
RPNiqsdt6-w_005508,1,4.300,
RPNiqsdt6-w_005508__pre,0,,
yB6fjM1UUC0_003505,1,4.100,
yB6fjM1UUC0_003505__pre,0,,
ahKX0rtdMJc_004028,1,4.200,
ahKX0rtdMJc_004028__pre,0,,
Vtpe3HAIEm4_003284,1,0.300,
90gyBengKDs_001952,1,3.100,
90gyBengKDs_001952__pre,0,,
OWtbKblBOKI_005407,1,2.300,
OWtbKblBOKI_005407__pre,0,,
3u_CIo9IaWo_003400,1,3.900,
3u_CIo9IaWo_003400__pre,0,,
0RJPQ_97dcs_004701,1,4.700,
0RJPQ_97dcs_004701__pre,0,,
p-fBcE77G4c_004034,1,2.000,
p-fBcE77G4c_004034__pre,0,,
vdLn-qswnRo_001048,1,3.700,
vdLn-qswnRo_001048__pre,0,,
gXezhrOijmQ_004718,1,2.600,
gXezhrOijmQ_004718__pre,0,,
WWyeuvpHmfc_001197,1,2.200,
WWyeuvpHmfc_001197__pre,0,,
bI9JzQSrEGo_001890,1,1.400,
Zpo0kwg1XEQ_002225,1,4.700,
Zpo0kwg1XEQ_002225__pre,0,,
bI9JzQSrEGo_003004,1,4.800,
bI9JzQSrEGo_003004__pre,0,,
PYL3JcSsS6o_003669,1,18.200,
PYL3JcSsS6o_003669__pre,0,,
pOJpwWmEcFg_002862,1,3.200,
pOJpwWmEcFg_002862__pre,0,,
7uTMZ5-aWKA_004077,1,4.300,
7uTMZ5-aWKA_004077__pre,0,,
TlBhM9Xbr2o_002712,1,2.600,
TlBhM9Xbr2o_002712__pre,0,,
OWtbKblBOKI_002770,1,2.900,
OWtbKblBOKI_002770__pre,0,,
xVfPBzDnI2Q_002101,1,2.500,
xVfPBzDnI2Q_002101__pre,0,,
gZbGLa253Ak_004654,1,5.300,
gZbGLa253Ak_004654__pre,0,,
Hkui6PJboFg_004102,1,1.900,
ujVRDgGVzlQ_004292,1,1.900,
ieP36TLihGM_002793,1,3.000,
ieP36TLihGM_002793__pre,0,,
UOjQsfDXjO0_004713,1,4.100,
UOjQsfDXjO0_004713__pre,0,,
r6_ZhT7rmhM_004698,1,6.800,
r6_ZhT7rmhM_004698__pre,0,,
W6YrlYyWguc_005016,1,3.900,
W6YrlYyWguc_005016__pre,0,,
YBEYOS3A3Ic_003510,1,5.500,
YBEYOS3A3Ic_003510__pre,0,,
kN-2mc561GY_004103,1,0.200,
UjkeNSr2dXQ_005158,1,3.800,
UjkeNSr2dXQ_005158__pre,0,,
jv7vz_55H8M_002457,1,4.400,
jv7vz_55H8M_002457__pre,0,,
UOjQsfDXjO0_005153,1,4.500,
UOjQsfDXjO0_005153__pre,0,,
bFGmOp9H3MA_001633,1,3.000,
bFGmOp9H3MA_001633__pre,0,,
